CatalogusNr;Artiest;Titel;Jaar;Drager;Aantal Drager;DiscogsID;Genre;Label;Laatste update;In bezit
282;Trio Ben Lansink;Dansen Thuis Met Trio Ben Lansink Nr 1;1982;Vinyl - LP, Album;1;15957549;Pop;BLM;25-3-2026;JA
44006;Various;Truck-Stop Convoy 2;1971;LP;;1253338;Jazz, Big Band, Swing;Reprise Records;19-3-2026 15:24:15;JA
83703;Julio Iglesias;Emociones;;LP;1;11609245;Latin, Pop;Columbia;20-3-2026 19:25:34;JA
88575;Simon And Garfunkel;The Concert In Central Park;1986;LP;;1217659;Rock, Folk Rock, Classic Rock;Geffen Records;19-3-2026 14:59:01;JA
111025;Die Falkenauer Musikanten;Egerländer Musikanten;;LP;1;11487101;Folk, World, & Country;Europa;20-3-2026;JA
251008;Kinderkoor Jacob Hamel;Zingen Bij De Kerstboom;1992;LP;1;6265018;Children's, Folk, World, & Country;CNR;20-3-2026;JA
280718;Het Fries Jeugdkoor, Meindert Bosklopper;50 Beste Kinderliedjes Deel 2;0;CD - Album;1;4727748;Pop, Children's;Not On Label (Het Fries Jeugdkoor Self-released);26-3-2026 15:48:00;JA
302200;Lee Towers;In Concert;1983;Vinyl - LP, Stereo;2;1571111;Pop;Ariola;25-3-2026 16:55:00;JA
302946;Various;Pop Classics;1987;Vinyl - LP, Compilation, Stereo;2;1616368;Electronic, Rock, Pop;EVA, EVA Odeon;25-3-2026 16:46:00;JA
302946; Various;Pop Classics;1987;LP;2;30738547;Rock;EVA;20-3-2026 22:58:14;JA
385201;Various;Remember Hits Of The Sixties;;LP;1;4776848;Pop;Buddah Records;20-3-2026 22:36:38;JA
440751;Ennio Morricone;Het Gebeurde In Het Westen;1975;Cassette - Album, Reissue, Stereo;1;31176508;Electronic, Stage & Screen;RCA Victor;25-3-2026 15:30:00;JA
538113;Various;De Daverende Dertien Carnaval;1978;Vinyl - LP, Compilation;1;3862519;Pop;CNR;25-3-2026 15:00:00;JA
657563;The Sunstreams;The Sunstreams;1979;LP;;3306458;Pop, Schlager;CNR;19-3-2026 13:06:22;JA
660030;de Kermisklanten;Speel mee met e Kermisklanten;1979;LP;1;2315897;Folkld, & Country;CNR;20-3-2026;JA
773003;Gert & Hermien;Successen van Gert en Hermien Timmerman;0;Vinyl - LP, Compilation;1;9789162;Folk, World, & Country;CNR;25-3-2026 16:26:00;JA
1994202;Various;Megapopclassics;1994;CD - CDi, Compilation;1;696067;Electronic, Rock, Pop;Stichting CPG, Stichting CPG;25-3-2026 18:37:00;JA
2001657;Bassie & Adriaan;60 Liedjes Uit Grootmoeders Tijd;1994;CD - Album;1;1981813;Children's;CNR Music;26-3-2026 15:49:00;JA
2002460;Bassie & Adriaan;60 Liedjes Uit Grootmoeders Tijd Deel 2;1996;CD -;1;7748194;Children's;CNR Music;26-3-2026 16:14:00;JA
2051571;Annie M.G. Schmidt;Jip En Janneke 2 - Verhaaltjes Van Annie M.G. Schmidt;0;CD -;1;8546663;Children's;Circle Records (3), Circle Records (3);26-3-2026 15:49:00;JA
2344120;Jean Michel Jarre;Equinoxe;1978;LP;;5147573;Electronic, Experimental, Ambient, Synth-pop;Polydor;19-3-2026 13:26:00;JA
6298751;Smokie;Greatest Hits;1977;LP;;15995411;Rock, Pop Rock;RAK;19-3-2026 15:00:22;JA
7860004;Various;Top 40 Dossier 2000;2000;CD - CD-ROM;1;16018705;Hip Hop, Jazz, Rock, Reggae, Latin, Funk / Soul, Blues, Non-Music, Pop, Classical, Brass & Military, Children's, Folk, World, & Country, Stage & Screen;Lost Boys Interactive B.V.;25-3-2026 18:57:00;JA
7956382;Various;Het Beste Uit De Top 40 Van '90;1990;CD - Compilation;2;451003;Electronic, Hip Hop, Rock, Pop;EVA;25-3-2026 18:47:00;JA
50551317;Simply Red;Home;0;CD - Album, Limited Edition;1;19751761;Electronic, Pop;simplyred.com;25-3-2026 18:42:00;JA
92740305;Various;Top 40 Hitdossier 1985-1986;2001;CD - Compilation;2;1849286;Electronic, Rock, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:24:00;JA
92740306;Various;Top 40 Hitdossier 1987-1988;2001;CD - Compilation;2;750368;Electronic, Hip Hop, Funk / Soul, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:24:00;JA
92740307;Various;Top 40 Hitdossier 1989-1990;2001;CD - Compilation;2;2049559;Electronic, Hip Hop, Rock, Reggae, Funk / Soul, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:25:00;JA
92740308;Various;Top 40 Hitdossier 1991-1992;2001;CD - Compilation;2;3716017;Electronic, Rock, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:26:00;JA
92740309;Various;Top 40 Hitdossier 1993-1994;2001;CD - Compilation;2;1095842;Electronic, Hip Hop, Rock, Reggae, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:26:00;JA
92740310;Various;Top 40 Hitdossier 1995-1996;2001;CD - Compilation;2;3711243;Electronic, Rock, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:26:00;JA
92740311;Various;Top 40 Hitdossier 1997-1998;2001;CD - Compilation;2;3406087;Electronic, Rock, Pop;Warner Strategic Marketing Benelux;25-3-2026 19:27:00;JA
8711638874421;Jean-Pierre Danel;The Best Of The Guitar Legends - The All-Time Guitar Favorites;1998;CD - Compilation;3;35464642;Rock, Blues, Pop, Stage & Screen;Puzzle Productions, Galaxy Music;25-3-2026 18:18:00;JA
 9199 089;De Havenzangers;Aan Het Strand Stil En Verlaten;1977;LP;1;2722797;Folk, World, & Country;Philips;20-3-2026 22:14:42;JA
01 336161;Various;The Christmas Collection - Volume 1;1988;CD - Compilation;1;3940668;Pop;Arcade;25-3-2026 19:06:00;JA
038 CRY 04000;Deep Purple;The Book Of Taliesyn;1983;LP;;1725213;Rock, Prog Rock, Psychedelic Rock;Harvest;19-3-2026 13:22:47;JA
058-26650;Drukwerk;Drukwerk;1981;LP;;24735638;Pop;EMI;19-3-2026 13:28:15;JA
062-95739;Mud;Mud Rock;1974;LP;1;36541666;Rock;RAK;20-3-2026 19:33:59;JA
0630 16575;Simply Red;Greatest Hits;1996;CD - Compilation, Stereo;1;565324;Funk / Soul, Pop;EastWest;25-3-2026 18:42:00;JA
0630-12069;Simply Red;Life;1995;Vinyl - LP, Album;1;5433294;Electronic, Rock;EastWest;25-3-2026 19:47:00;JA
08-022867-20;Club J;Rock & Roll Disco;1984;LP;;4323684;Rock, Rock & Roll, Instrumental;Bridge;19-3-2026 14:57:49;JA
08-22211;Various;Internationaal Stemmenscala;1983;LP;8;32229864;Jazz, Pop, Folk, World, & Country;Reader's Digest;24-3-2026 17:50:43;JA
0946 3830422 7;Toppers;Kerst Met De Toppers;2006;CD - Album;1;863637;Pop;EMI;26-3-2026 16:22:00;JA
10 21972-0;The Blackforest Oldtimer;Tanz In Der Schwarzwaldmühle;1974;Vinyl - LP, Album, Stereo;1;8676060;Folk, World, & Country;BASF, Cornet;25-3-2026 14:53:00;JA
109 139-2;Various;Deutsche Schlagerjuwelen 1960-1969;2001;CD - Compilation;4;25819390;Pop;Universal Marketing Group;25-3-2026 17:17:00;JA
11965 tl;Various;Allemaal Hollands *3*;1977;LP;1;16797180;Rock, Pop, Folk, World, & Country;Telstar (2);20-3-2026 22:35:55;JA
12.534 rl;Various;Glück Auf !;1977;LP;1;8330762;Folk, World, & Country;Telstar (2);20-3-2026 21:24:07;JA
12540 RL;De Vrolijke Schuinmarcheerders;Op De Schuine Toer;1977;LP;1;6850670;Pop;Ojee;20-3-2026 22:46:19;JA
158-2607793;Various;Now This Is Music 3;1985;LP;;405373;Electronic, Rock, Pop Rock, Synth-pop;EMI;19-3-2026 15:07:49;JA
158-2610003;Various;Now This Is Music 4;1986;LP;;120438;Electronic, Rock, Reggae, Pop, Europop, Pop Rock, Synth-pop;EVA;19-3-2026 15:08:20;JA
160.004.1;Kannela;Con Todo;1989;LP;1;24294587;Latin;Fonocaribe;20-3-2026 21:44:39;JA
19922 TL;Henk Wijngaard;De Henk Wijngaard Show;1979;LP;;19824523;Folk, World, & Country;Telstar;19-3-2026 13:23:42;JA
1993 102;Various;De Nationale Voorjaars CD 1993;1993;CD - Compilation, Promo;1;13186382;Rock, Pop;Stichting CPG;25-3-2026 18:38:00;JA
1a 062-06603;Kate Bush;The Kick Inside;0;Vinyl - LP, Album, Reissue;1;15702155;Rock, Pop;EMI;25-3-2026 15:20:00;JA
1A 062-94837;Deep Purple;Burn;;LP;;1858874;Rock, Hard Rock;Purple Records;19-3-2026 13:27:26;JA
1A 438-26421;Various;The Best Of The 70's;1979;LP;;19559608;Electronic, Rock, Reggae, Funk / Soul, Pop, Disco, Synth-pop, Reggae-Pop;EMI;19-3-2026 15:38:30;JA
1A022-58080;The Beach Boys;The Beach Boys;1981;LP;1;1506787;Pop, Rock;Music For Pleasure;20-3-2026 22:05:08;JA
1A046-26926;The Cats;The Story Of The Cats;1983;LP;;1228736;Rock, Pop, Pop Rock;EMI;19-3-2026 13:25:15;JA
1AK-262-26629;Various;Herinnert U Zich Deze Nog ?;1981;LP;1;7742934;Rock;Columbia;20-3-2026 23:09:50;JA
200 333-315;Gheorghe Zamfir;The Best Of;1979;Vinyl - LP, Compilation, Stereo;1;9091986;Folk, World, & Country;Ariola;25-3-2026 15:29:00;JA
208 676-630;Johnny Hates Jazz;Turn Back The Clock;1988;Vinyl - LP, Album, Stereo;1;503750;Electronic, Rock;Virgin, Virgin;25-3-2026 15:24:00;JA
21030 TL;Henk Wijngaard;Als Chauffeur Ben Ik Geboren;1981;LP;;17414551;Folk, World, & Country;Telstar;19-3-2026 13:24:22;JA
2311 075;Jean Michel Jarre;Magnetic Fields;1985;LP;;3437873;Electronic, Synth-pop, Ambient;Polydor;19-3-2026 13:26:52;JA
2340 116;ABBA;The Best Of ABBA;1976;LP;;13589379;Rock, Pop, Pop Rock, Disco;Polydor;19-3-2026 15:43:26;JA
2371 709;Fischer Chöre;Die Schönsten Weihnachtslieder;;LP;;3120458;Classical, Folk, World, & Country, Folk, Choral, Religious, Holiday;Polydor;19-3-2026 13:06:07;JA
2371 786;James Last;Non Stop Dancing 1977/2;1977;Vinyl - LP, Album, Mixed;1;5091856;Jazz, Rock, Funk / Soul, Pop;Polydor;25-3-2026 16:32:00;JA
240 356-1;Normaal;De Klok Op...Rock;1984;LP;;181127;Rock, Pop;WEA;19-3-2026 15:57:14;JA
2418 189;Various;Trumpet Non Stop;;LP;;7130397;Jazz, Pop, Folk, World, & Country, Easy Listening;Polydor;19-3-2026 13:16:16;JA
2437 663;Fischer Chöre;1000 Stemmen Zingen Voor U 28 Beroemde Melodieën;;LP;2;7012969;Pop, Classical, Folk, World, & Country, Stage & Screen;Polydor;20-3-2026 22:49:27;JA
2442 160;The Hollies;Five Three One;1979;LP;;292904;Rock, Pop;Polydor;19-3-2026 15:01:42;JA
2454 005;Pete Colley;Hammond In Super Stereo;;LP;1;1986109;Jazz, Pop;Polydor;20-3-2026 22:35:06;JA
2479 139;Bee Gees;Main Course;1975;LP;1;2399280;Rock, Pop;RSO;20-3-2026 19:16:22;JA
2479 175;Bee Gees;Best Of Bee Gees;;LP;1;25541419;Rock, Pop;RSO;20-3-2026 22:04:36;JA
2484 050;Various;Heet Van De Naald (12 Internationale Hits);;LP;1;15099628;Pop;Polydor;20-3-2026 22:14:16;JA
2495 047;Olga Lowina;Hoog Op De Alpen;1973;Vinyl - LP, Album, Stereo;1;4315082;Pop, Folk, World, & Country;Karussell;25-3-2026 15:16:00;Ja
250 716-1;The Andrews Sisters;The Best Of The Andrews Sisters;1976;LP;;2869402;Jazz, Pop, Big Band, Vocal, Swing, Easy Listening;MCA Records;19-3-2026 15:44:20;JA
2534.60;Various;De 1983 Superhits;1983;LP;;966540;Rock, Reggae, Pop, Pop Rock, Reggae-Pop;EMI;19-3-2026 15:09:52;JA
26 026 OT;Boney M.;Nightflight To Venus;1978;LP;;795289;Funk / Soul, Pop, Disco;Hansa International;19-3-2026 13:20:32;JA
2674 007;Bee Gees;Best;1973;LP;2;1322110;Rock, Pop;Karussell;20-3-2026 22:52:34;JA
2675 230;James Last;Wereldsuccessen;1982;Vinyl - LP, Compilation;2;1755357;Jazz, Funk / Soul, Pop, Classical;Polydor;25-3-2026 15:10:00;JA
27 035 XMT;Peter Frampton;Frampton Comes Alive!;1976;LP;2;26818655;Rock;A&M Records;20-3-2026 19:34:30;JA
288 888 OT;Boney M.;Love For Sale;1977;LP;;1284599;Funk / Soul, Pop, Disco;Hansa Record;19-3-2026 13:20:10;JA
29.980032.20;Various;Toppers On Train Tour;1986;LP;;9136120;Jazz, Rock, Pop, Folk, World, & Country;CBS Special Products;19-3-2026 15:09:01;JA
3215 027;Bee Gees;All Time Greatest Hits;1977;LP;1;869472;Electronic, Rock, Pop;RSO;20-3-2026 22:03:56;JA
33CSX 9;The Golden Gate Quartet;Negro Spirituals;1973;LP;1;9006359;Folk, World, & Country;Columbia;20-3-2026 22:02:59;JA
38-26608/9;Various;Het Beste Uit De Top 40 Van Het Jaar;1980;LP;;970249;Rock, Funk / Soul, Pop, Europop, Pop Rock, Disco;EMI;19-3-2026 15:11:49;JA
450227 1;Bruce Springsteen & The E-Street Band;Live 1975-85;1986;LP;5;524230;Rock;CBS;24-3-2026 13:58:45;JA
46 209;Various;50 years of Popmusic;2002;LP;;11289791;Reggae, Roots Reggae, Reggae;Reader's Digest;19-3-2026 19:23:57;JA
463044 2;Meat Loaf;Bat Out Of Hell;0;CD - Album, Reissue;1;24054317;Rock;Epic, Epic, Cleveland International Records;25-3-2026 18:41:00;JA
465843 2;The Nits;Urk;1989;CD - Album;2;10084538;Rock;CBS, CBS;25-3-2026 18:49:00;JA
501266 2;Various;Back To The 80's Pop & Wave (De Hits Uit De Jaren '80);2001;CD - Compilation;3;525512;Electronic, Hip Hop, Rock, Funk / Soul, Pop, Stage & Screen;Sony Music Media;25-3-2026 18:25:00;Ja
50DA 315;Bruce Baxter Orchestra;50 Popular TV Themes;1977;LP;;28637149;Stage & Screen, Theme;Pickwick Records;19-3-2026 15:00:43;Ja
520 800-2;Various;Top 40 Hitdossier 1969-1970;2001;CD - Compilation;2;3706901;Rock, Funk / Soul, Pop, Folk, World, & Country;Universal TV;25-3-2026 19:42:00;JA
533 675-2;The Rubettes;The Rubettes;1997;CD - Compilation;1;5387068;Pop;Polydor;25-3-2026 17:27:00;Ja
557 818-2;Various;Nieuw Nederlands Peil;1998;CD - Compilation;1;492904;Rock, Pop;PolyGram TV;25-3-2026 19:46:00;Ja
568 108-2;Elton John;Something About The Way You Look Tonight / Candle In The Wind 1997;1997;CD - Single;1;8888324;Rock, Pop;Mercury, The Rocket Record Company;25-3-2026 18:29:00;JA
585 895-2;Various;While My Guitar Gently Weeps;2001;CD - Compilation;2;6669816;Jazz, Rock, Blues, Pop;Universal;25-3-2026 18:48:00;JA
5C 058-25660;Fons Jansen;Fons Op Z'n Best;1977;LP;1;3441232;Non-Music, Stage & Screen;EMI Holland;20-3-2026 19:17:47;JA
5C 062-85759;Dr. Hook;Pleasure & Pain;1978;LP;;1066316;Rock, Soft Rock, Pop Rock;Capitol Records;19-3-2026 15:50:07;JA
5C 062-97530;Ike & Tina Turner;Greatest Hits;1976;LP;1;1170994;Rock, Funk / Soul;United Artists Records;20-3-2026 19:24:06;JA
5C 064.25567X;Various;Hit Explosion Vol. 7 Original Hits;1977;LP;1;3137710;Pop;EMI;20-3-2026 19:37:18;JA
5C 138-24565;Fons Jansen;De Lachende Kerk;1978;LP;2;10564405;Non-Music;Bovema Negram;20-3-2026 21:24:41;JA
5C 138-26000;Various;40 Rock And Roll Million Sellers;1978;LP;2;22005694;Rock;EMI;20-3-2026 19:03:17;JA
5C 152-85750;The Beach Boys;Bests 40 Greatest Hits;1974;LP;;4162007;Rock, Pop, Folk Rock, Surf;Capitol Records;19-3-2026 15:48:30;JA
5C 184-05307;The Beatles;1962-1966;1973;LP;;7743544;Rock, Beat;Apple Records;19-3-2026 15:51:31;Ja
5C 184-05309;The Beatles;1967-1970;1973;LP;;22650803;Rock, Rock & Roll, Pop Rock;Apple Records;19-3-2026 15:51:28;Ja
5C 188-25269;Fons Jansen;Kwartetten;1975;Vinyl - LP, Album, Stereo;2;25302520;Non-Music, Stage & Screen;EMI Holland, EMI, EMI Holland, EMI Holland;25-3-2026 14:54:00;Ja
5C054.24 996;Robert Long;Vroeger Of Later;;LP;;32313585;Folk, World, & Country;Imperial;19-3-2026 15:03:20;Ja
5C062-25175;The Cats;Hard To Be Friends;1975;LP;;9303743;Rock, Pop, Country Rock, Ballad;EMI;19-3-2026 13:24:49;Ja
5C062-98181;Deep Purple;Made In Europe;1976;LP;;662511;Rock, Hard Rock;Purple Records;19-3-2026 13:23:08;Ja
6.22446 as;Klaus Wunderlich;Klaus Wunderlich Speelt Voor U (28 Wereldbekende Melodieën);1975;Vinyl - LP, Album, Stereo;1;7908480;Jazz, Pop;Telefunken;25-3-2026 17:25:00;Ja
6.30118 Hz;The Rolling Stones;The Rolling Stones Story;1980;LP;12;8846488;Rock;Decca;24-3-2026 17:47:29;Ja
63 070;Elvis Presley;20 Fantastic Hits;1975;LP;;2347800;Rock, Rock & Roll;RCA Victor;19-3-2026 14:55:48;Ja
6302 183;Dr. Hook;Players In The Dark;1982;Vinyl - LP, Album;1;12466772;Rock;Mercury, Fálkinn;25-3-2026 15:25:00;Ja
6325 021;Démis Roussos;Forever And Ever;;LP;;10749658;Rock, Pop, Europop, Ballad;Philips;19-3-2026 13:07:02;Ja
6333 007;Aphrodite's Child;Greatest Hits;0;Vinyl - LP, Compilation;1;13284346;Rock;Mercury;25-3-2026 14:50:00;Ja
6343 030;Malando And His Tango Orchestra;Malando's Favoriete Tango's;;LP;1;3359198;Latin;Fontana;20-3-2026 21:49:59;Ja
6413 509;Earth And Fire;Reality Fills Fantasy;1979;LP;;7553287;Rock, Pop, Europop, Symphonic Rock;Vertigo;19-3-2026 13:28:40;Ja
6423 445;De Havenzangers;Alle Hens Aan Dek;1981;LP;1;1238420;Folk, World, & Country;Philips;20-3-2026 22:13:37;Ja
6428 047;Various;Hits Voor Zomaar Een Zomeravond;1972;LP;1;30461774;Jazz, Pop, Stage & Screen;Fontana;20-3-2026 23:04:32;Ja
6436 031;Various;Alle 13 Goed! Deel 8;1975;Vinyl - LP, Compilation, Stereo;1;1299861;Electronic, Rock, Funk / Soul, Pop;Philips;25-3-2026 16:31:00;Ja
6436 059;Various;Alle 13 Goed! Deel 9;1975;LP;;2376754;Rock, Funk / Soul, Pop, Disco, Pop Rock, Ballad, Schlager;Philips;19-3-2026 15:43:51;Ja
6440 170;De Twee Pinten;Als Ik Jou Kus - Zwaaien En Zwieren Met De Twee Pinten;;LP;1;14171864;Pop;Philips;20-3-2026 22:47:02;Ja
6440 976;Harmonica Duo K. Schriebl / J. Hupperts;Bal Met Schriebl & Hupperts;;LP;1;15559257;Pop;Philips;20-3-2026 22:03:19;Ja
6454 037;The Moody Blues;The Beginning;1973;LP;;1643197;Rock, Pop Rock, Rhythm & Blues;Decca;19-3-2026 15:03:36;Ja
652Y-7 95673 2;Various;The Finest Masterpieces In Pop & Rock;0;CD - Compilation, Reissue, Stereo;3;35583349;Jazz, Rock, Funk / Soul, Pop;EMI Germany, EMI Germany, EMI Germany;25-3-2026 19:36:00;Ja
6601 006;Various;30 Hollandse Hits Van Toen 2;1980;LP;;4022562;Pop, Folk, World, & Country;Philips;19-3-2026 15:39:41;Ja
6629 014;Wim Sonneveld;Het Beste Van Wim Sonneveld;1978;LP;2;1269609;Non-Music, Pop, Children's, Folk, World, & Country, Stage & Screen;Philips;20-3-2026 22:54:13;Ja
6641 341;Various;Dat Zijn Leuke Dingen Voor De Mensen!;1975;LP;2;1057012;Non-Music, Pop;Polystar (3);20-3-2026 22:53:44;Ja
6641 605;Boudewijn de Groot;Het Beste Van Boudewijn;1976;LP;;23787137;Rock, Pop, Folk Rock, Pop Rock;Philips;19-3-2026 15:43:07;Ja
6641 818 35;Boudewijn de Groot;Boudewijn de Groot - Vijf Jaar Hits / Deel 1 & 2;1977;CD;2;3978381;Rock, Pop;Philips;25-3-2026 19:00:00;Ja
6645 008;Mantovani;Wereldsuccessen - De 30 Mooiste Melodieën;1977;LP;2;3572868;Pop, Classical, Folk, World, & Country, Stage & Screen;Decca;20-3-2026 19:33:03;Ja
6645 407;The Rolling Stones;Stones Story;;LP;;412456;Rock, Blues, Rock & Roll, Rhythm & Blues, Blues Rock, Classic Rock;Decca;19-3-2026 14:59:58;Ja
6677 067;Various;30 Hollandse Hits Van Toen;1973;LP;;2499957;Pop;Philips;19-3-2026 15:39:20;Ja
6678 020;Various;Dat Zijn Leuke Liedjes Voor De Mensen;1976;LP;2;3918715;Stage & Screen;Philips;20-3-2026 23:11:17;Ja
6745 009;Wiener Philharmoniker;Strauss Concert In Wenen (Het Allermooiste Uit 25 Nieuwjaarsconcerten);1979;LP;2;22482251;Classical, Folk, World, & Country;Decca;20-3-2026 22:01:02;Ja
6802-908;Unknown Artist;Studio Presenteert: Populaire Melodieën;;LP;1;8203171;Latin, Folk, World, & Country;Studio (8);20-3-2026 19:32:36;Ja
6870 571;Nana Mouskouri;White Rose Of Athens;;LP;1;12965446;Folk, World, & Country;Contour;20-3-2026 19:26:38;Ja
6878 067;Various;The Phil Spector Collection;1980;LP;1;972754;Rock, Funk / Soul, Pop;Polydor;20-3-2026 21:43:39;Ja
6878 077;Various;Hard Rock Live;1982;LP;;2863021;Rock, Hard Rock;Polydor;19-3-2026 16:05:46;Ja
69 340;Various;Lustige Musikanten - Klingender Hausschatz Deutscher Volksmusik;1973;LP;5;20537308;Pop, Brass & Military, Folk, World, & Country;Marcato;24-3-2026 17:44:22;Ja
7 46033;Queen;Greatest Hits;1992;CD - Compilation, Stereo;1;15510915;Rock;EMI, Parlophone;25-3-2026 17:25:00;Ja
7243 5 55089;Vanessa-Mae;The Violin Player;1995;CD - Album, Club Edition, Promo;1;35190619;Electronic, Rock, Classical;Angel Records, EMI;25-3-2026 18:48:00;Ja
7243 5402242 5;The Cats;Greatest Hits;2002;CD - Compilation;1;1253839;Rock;EMI, EMI;25-3-2026 19:28:00;Ja
72438 39067 27;Meat Loaf;Bat Out Of Hell II: Back Into Hell;0;CD - Album;1;15448770;Rock;Virgin, Virgin, Virgin, Virgin;25-3-2026 18:53:00;Ja
7419 UL;Various;16 X Feest 7;1976;LP;1;6930063;Pop;Uniek;20-3-2026 19:30:09;Ja
74321 380142;Various;Car Classics;1996;CD - Compilation;3;2865821;Rock, Blues;EVA;25-3-2026 18:36:00;Ja
74321 929732;K3;Tele-Romeo;2002;CD - Album, Limited Edition;2;3344740;Pop, Children's;Niels William, BMG Belgium NV/SA;25-3-2026 19:18:00;Ja
814 220-1;Berdien Stenberg;Rondo Russo;1983;Vinyl - LP, Album;1;1633102;Electronic, Classical;Philips;25-3-2026 15:23:00;Ja
821 587-1;James Last;Trumpet À Gogo ;1984;Vinyl - LP;1;6227437;Jazz;Polydor;25-3-2026 15:12:00;Ja
82876 86987;Various;De 100 Grootste Jaren 70 Hits;2006;CD - Compilation;5;2070457;Rock, Pop;Sony BMG Music Entertainment;25-3-2026 18:46:00;Ja
